epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
152.0,190.0,28.0,760.0,10000.0,357.14285,200.0,200.0,0.25142887,0.002,,0.0055,0.5693574,
212.0,35.0,52.0,1060.0,20000.0,384.6154,200.0,200.0,-1.0506133,0.002,,0.001,0.527029,
262.0,168.0,75.0,1310.0,30000.0,400.0,200.0,200.0,-0.907367,0.002,,0.001,0.55849344,
312.0,171.0,99.0,1560.0,40000.0,404.0404,200.0,200.0,0.37011468,0.002,,0.001,0.5406377,
364.0,78.0,121.0,1820.0,50000.0,413.22314,134.0,186.8,-0.32141978,0.002,,0.001,0.5118393,
420.0,18.0,141.0,2100.0,60000.0,425.53192,173.0,184.5,-0.015375256,0.002,,0.001,0.5343197,
472.0,177.0,160.0,2360.0,70000.0,437.5,200.0,186.71428,0.080675885,0.002,,0.001,0.53726465,
524.0,21.0,182.0,2620.0,80000.0,439.56042,200.0,188.375,-0.8392001,0.002,,0.001,0.50097454,
575.0,194.0,206.0,2875.0,90000.0,436.89322,200.0,189.66667,0.3604134,0.002,,0.001,0.50492215,
629.0,116.0,230.0,3145.0,100000.0,434.78262,189.0,189.6,-0.2796912,0.002,,0.001,0.5551536,
